Month;CPIchange;fea_1;fea_2;fea_3;fea_4;fea_5;fea_6;fea_7;fea_8;fea_9;fea_10;fea_11;fea_12;fea_13;fea_14;fea_15;fea_16;fea_17;fea_18;fea_19;fea_20;fea_21;fea_22
2018-01;1,9;102,1;104,6;104,3;86,8;107,6;100,2;100,1;100,2;99,4;101,3;101,5;101,9;104,8;101,2;95,5;102,1;100,3;101,8;98,8;102;102,5;102,1
2018-02;1,4;100,1;102,1;104,5;91,7;102;99,9;98,2;100;98,9;101,2;101,7;101,4;103,4;101;95,8;102,1;100,5;101,9;98;100,6;101,5;102,1
2018-03;1,3;97,2;98,8;102,5;92,8;102,1;100,5;99,7;100,6;99,3;101;101,9;101,3;103,7;100,9;96,3;102;100;101,4;98,1;100,6;101;102,2
2018-04;1,6;96,4;98,2;105,4;83,6;100,9;101;101,6;101,1;99;101,1;102,1;101,6;104,1;101,7;96,2;102;100,5;101,4;99,9;100,1;100,9;102,1
2018-05;1,7;94,7;96,4;105,6;80,4;98,2;103;106,2;103,1;99,9;101;102,4;101,7;103;101,6;96,2;102;100,4;102,4;104,8;98,1;101;102,2
2018-06;2;96,6;95,3;104,3;82,6;96,6;103,7;111,6;103,7;100;101,4;102,8;102;102,7;101,8;95,8;102,1;100,5;102,2;108,6;98,4;100,7;102,2
2018-07;2;100,1;92,6;103,8;88,6;95,8;103,4;105,1;103,7;100,1;101,7;103,1;102;102,2;101,8;95,8;102,2;100,7;101,7;110,1;98,3;101,2;102,2
2018-08;2;118,1;117,9;102,4;90,9;92,9;103;104,2;103,2;100,9;101,1;103,2;102;102,1;101,8;96,6;102,4;100,9;101,8;108,5;99,1;101,6;102,2
2018-09;1,9;124;128,8;102,7;88,7;91,6;103;104,7;103,1;101,4;101,1;103,3;101,9;102,3;101,6;96,7;102,2;101,1;102,1;107;96,4;101,8;102,6
2018-10;1,8;124,9;127,5;101;90,9;92,4;103,2;101,3;103,4;101,9;101,3;103,3;101,8;101,8;101,5;97,1;102;100,9;102,1;107,5;96,4;101,9;102,8
2018-11;1,3;125,1;127,2;99,7;90,8;92,7;102,8;102;102,8;102,9;101,6;103,4;101,3;100,7;101,7;97,3;101,9;101,2;102,9;106,1;94,1;100,7;103
2018-12;1,1;123,5;124,7;98;92;91,9;102,1;101,5;102,1;103,1;101,6;103,7;101,1;100,9;101,4;97,3;101,9;101,1;102,9;104;93,9;100,9;103
2019-01;0,7;124,2;124,2;100,3;95,3;99,1;102,2;102,4;102;104,6;101,8;103,6;100,7;100,8;101,3;97;100,2;100,9;102,6;101,9;95,4;101,2;103,1
2019-02;1,2;126,6;126,9;98,8;93,9;102,1;102,9;106,6;102,6;104,6;102,2;103,7;101,2;102,1;101,4;96,8;100,6;100,6;102,6;102,5;97,6;101,3;103,1
2019-03;1,7;124;121,8;102,9;96,7;102,7;102,5;104,1;102,1;104,8;102,3;103,7;101,7;102,6;101,5;97,6;101;101,1;102,9;103,5;97,5;101,9;103,1
